||FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |FUNCTIONALITIES |UI|UI|UI|UI|UI|UI|UI|UI|UI
user functionality / computer functionality ||interactivity|interactivity|reproducibility/transparency|Disaster Recovery|Export|Export|Export|Import|Import|GALLERY|BLUEPRINT ARCHITECT ELEMENTS|BLUEPRINT ARCHITECT ELEMENTS|BLUEPRINT ARCHITECT ELEMENTS|BLUEPRINT ARCHITECT ELEMENTS|TEST_LAB|TEST_LAB|TEST_LAB|TEST_LAB|TEST_LAB||||2 sides of the same coin (on/off)|||||
PASSIVE_INTERACT |ACTIVE_INTERACT (T3 + CMP_MODE + AUTOSAVE)|HASHES EXPORT|AUTOSAVE|EXP_BNDL|EXP_GROUP (ability)|EXP_GRF|Metadata import (META_ING)|Import data (IMP_HLP)|GALLERY|BLUEPRINT ARCHITECT|TUBE_MAP|WRNG_STU|other to be announced|TEST_LAB|DATA PREP|CREATE_TEST_DATA|CREATE_MANIFEST_BROILER_PLATE|other to be announced|TIER_TOG (T1/T2) VIEW – require INTERACT_ENABLED|TIER_TOG (T1/T2 + T3/T2-T3 comparison) VIEW|PRS_BADGE|MAN_SEL|MAN_FIX|UI_TITLE|UI_SUBT|SHOW_NAV|SDB_PROF||
ACTIVE_INTERACT (T3) + CMP_MODE + AUTOSAVE + HASHES_EXPORT (link to audit) always associated with T3 functionality : T3_SAND + CMP_MODE + AUD_RPT + SESS_MGT||Required|Required|Required|Required|Required|Required|Required|||||||||||||required|required|||||||
PASSIVE_INTERACT passive interaction (filter, drops) but do not modify data ||Required||discuss|discuss||||||||||||||||required||||||||
EXPORT||||Required|Required|Required|||||||||||||||||||||||
IMPORT|||||||discuss|discuss (but function depends on configuration here)|||||||||||||||||||||
